Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9668856,0.9706033,0.02861575,13.4325847625732,4.500915,1.246306
100ms,10ms,0.9651731,0.9753142,0.03117009,11.5671653747559,4.36283,3.741523
100ms,15ms,0.9563122,0.9662028,0.03514127,9.37352466583252,7.585511,1.383012
100ms,20ms,0.9478343,0.9566194,0.04012917,8.56229019165039,4.643093,3.10254
100ms,25ms,0.9222414,0.9380149,0.05593411,8.30729389190674,3.849109,1.804126
100ms,30ms,0.8871802,0.9077644,0.08828027,7.58551120758057,3.849109,2.698259
100ms,35ms,0.8689362,0.9158361,0.1094525,7.13828611373901,3.729786,2.230155
100ms,40ms,0.889799,0.9009914,0.06930117,6.71643829345703,3.729786,1.990325
100ms,45ms,0.9051757,0.9138629,0.05755374,6.31852722167969,3.501346,2.250002
100ms,50ms,0.8896392,0.8935413,0.06078664,6.12812042236328,3.392034,2.185234
100ms,5ms,0.9678108,0.9769,0.02746274,11.5671653747559,6.12812,2.718134
150ms,0ms,0.9614379,0.9651029,0.01882303,13.4325847625732,5.943195,8.010488
150ms,10ms,0.9588099,0.9644516,0.02325456,13.83948802948,10.25905,4.09129
150ms,15ms,0.9628108,0.9674342,0.02127453,12.2808141708374,8.307294,4.509233
150ms,20ms,0.9551935,0.9621227,0.02564701,12.6535806655884,7.358634,2.77665
150ms,25ms,0.9291324,0.9425915,0.05871183,9.37352466583252,5.763592,3.524388
150ms,30ms,0.8974368,0.9254886,0.09061632,9.37352466583252,4.940217,5.479672
150ms,35ms,0.8674165,0.9086009,0.1031618,8.0596399307251,4.36283,3.529217
150ms,40ms,0.8632898,0.880343,0.06650763,8.0596399307251,3.849109,2.879098
150ms,45ms,0.8824775,0.8776525,0.04636879,8.30729389190674,3.849109,4.384799
150ms,50ms,0.8408997,0.8315012,0.066415,7.13828611373901,3.613899,2.876629
150ms,5ms,0.9621781,0.9622826,0.01593314,14.6898326873779,10.57189,2.545255
300ms,0ms,0.9997053,0.9998246,0.0003693298,17.0462741851807,12.65358,1.118616
300ms,10ms,0.9996775,0.9997725,0.0003069637,16.0622177124023,10.57189,3.828738
300ms,15ms,0.9997805,0.9998475,0.0002421772,15.5913314819336,9.660121,6.918008
300ms,20ms,0.9996166,0.9999703,0.0007285301,15.1339998245239,8.824842,7.273803
300ms,25ms,0.9995765,0.9998844,0.0005205702,13.4325847625732,8.307294,7.233833
300ms,30ms,0.9973168,0.9997058,0.004294204,12.2808141708374,7.819113,6.663566
300ms,35ms,0.9982511,0.9995579,0.002226494,12.6535806655884,7.138286,6.285455
300ms,40ms,0.9988972,0.9993753,0.001194257,12.2808141708374,7.138286,5.928801
300ms,45ms,0.9946446,0.998829,0.00920091,10.8940095901489,6.514577,5.983244
300ms,50ms,0.988339,0.9980546,0.01868179,11.2256717681885,5.589159,4.948392
300ms,5ms,0.9994221,0.9997282,0.0006621529,16.5470600128174,12.65358,0.3727665
50ms,0ms,0.9963646,0.9993958,0.008939952,8.0596399307251,3.971968,1.251059
50ms,10ms,0.9907808,0.9978074,0.01476367,7.81911325454712,3.182759,1.984245
50ms,15ms,0.9921412,0.9954037,0.00938583,6.92428207397461,3.285869,1.689236
50ms,20ms,0.9854273,0.993902,0.02322469,6.71643829345703,3.182759,1.719885
50ms,25ms,0.9760118,0.9899493,0.03617734,5.94319486618042,3.613899,1.471929
50ms,30ms,0.9555874,0.9784704,0.06896544,6.31852722167969,3.613899,1.24336
50ms,35ms,0.9235665,0.9722986,0.113389,6.12812042236328,3.392034,1.299309
50ms,40ms,0.9323941,0.9619268,0.0693039,5.94319486618042,3.392034,1.518658
50ms,45ms,0.9426635,0.955512,0.04119086,5.58915948867798,2.8909,2.32835
50ms,50ms,0.9101677,0.9183025,0.0624528,4.94021654129028,2.154192,2.469054
50ms,5ms,0.9951263,0.9977402,0.008046231,7.58551120758057,3.849109,1.318156
70ms,0ms,0.9870492,0.9932739,0.01593141,12.6535806655884,5.095415,8.143053
70ms,10ms,0.9724873,0.9916439,0.04009872,9.66012096405029,4.098469,5.060944
70ms,15ms,0.9583358,0.9892018,0.05392484,7.81911325454712,3.971968,3.142761
70ms,20ms,0.950467,0.977571,0.05645572,7.13828611373901,3.849109,2.049316
70ms,25ms,0.9382259,0.9667647,0.07170568,6.92428207397461,3.729786,1.752193
70ms,30ms,0.9212774,0.9638957,0.09502496,6.92428207397461,3.501346,1.471929
70ms,35ms,0.8866786,0.9212775,0.1054301,6.51457691192627,3.501346,1.337819
70ms,40ms,0.8556238,0.8780944,0.1024186,5.94319486618042,3.501346,1.790854
70ms,45ms,0.8792569,0.8807594,0.06536303,6.31852722167969,3.285869,1.77086
70ms,50ms,0.8500807,0.8487268,0.07142305,5.58915948867798,3.392034,1.739303
70ms,5ms,0.9753512,0.9908788,0.03273223,12.6535806655884,4.228719,9.119619
