Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.7421367,0.7614252,0.08752176,27.7467823028564,12.65719,4.451869
100ms,10ms,0.721932,0.7662275,0.1064111,26.4370059967041,13.64109,6.855136
100ms,15ms,0.7206932,0.7481703,0.09596406,26.4370059967041,11.74012,9.665127
100ms,20ms,0.726741,0.7366111,0.07318176,27.0842189788818,11.16361,9.82814
100ms,25ms,0.7393115,0.7474245,0.05577514,27.0842189788818,10.88533,10.80003
100ms,30ms,0.7906424,0.7887025,0.06137111,26.4370059967041,11.16361,11.85334
100ms,35ms,0.7949743,0.7942708,0.06938115,25.1872291564941,11.16361,11.85334
100ms,40ms,0.7873373,0.7957574,0.06429521,26.4370059967041,12.03867,16.20297
100ms,45ms,0.7795339,0.7789632,0.06424582,25.1872291564941,10.88533,12.80714
100ms,50ms,0.7680568,0.7694657,0.06422465,25.8047904968262,10.61351,12.96566
100ms,5ms,0.7454954,0.7677726,0.07711945,27.0842189788818,12.3443,3.723029
150ms,0ms,0.6429902,0.662845,0.1055243,28.4250679016113,12.03867,3.636753
150ms,10ms,0.6582264,0.6430875,0.1086629,22.307559967041,14.33654,3.880466
150ms,15ms,0.5886689,0.6186575,0.1236742,29.8302936553955,13.3054,9.693316
150ms,20ms,0.6091549,0.6293385,0.1096236,28.4250679016113,11.16361,9.222364
150ms,25ms,0.6286813,0.6307836,0.07846779,28.4250679016113,11.16361,11.85334
150ms,30ms,0.6679412,0.6571702,0.07074754,28.4250679016113,10.88533,12.80714
150ms,35ms,0.689705,0.6946498,0.06909253,27.0842189788818,11.44848,13.12051
150ms,40ms,0.6733733,0.677668,0.07312007,25.8047904968262,11.44848,19.05258
150ms,45ms,0.6593221,0.6536576,0.06699143,26.4370059967041,10.88533,17.17416
150ms,50ms,0.6646783,0.656665,0.07678715,27.0842189788818,10.61351,13.73788
150ms,5ms,0.6260382,0.6364763,0.1115935,27.7467823028564,13.64109,8.512606
300ms,0ms,0.3919576,0.3715588,0.1394533,29.8302936553955,13.3054,8.760097
300ms,10ms,0.3924052,0.3578863,0.1420079,31.3029823303223,13.98474,10.64718
300ms,15ms,0.3753379,0.3440516,0.1281043,30.5580062866211,12.65719,10.36944
300ms,20ms,0.3918391,0.3642509,0.1279153,30.5580062866211,11.44848,13.42201
300ms,25ms,0.3950554,0.3825023,0.1214972,28.4250679016113,12.03867,19.13617
300ms,30ms,0.407131,0.3918399,0.1248822,28.4250679016113,12.03867,18.08947
300ms,35ms,0.4277866,0.3660963,0.1613315,27.0842189788818,12.03867,19.48035
300ms,40ms,0.3556742,0.3291262,0.1326789,29.1194458007812,11.44848,12.77477
300ms,45ms,0.5214209,0.514626,0.1698839,28.4250679016113,10.88533,20.62093
300ms,50ms,0.353238,0.3313206,0.1354179,27.0842189788818,11.44848,17.99868
300ms,5ms,0.3815895,0.3698622,0.1415348,30.5580062866211,13.64109,8.512606
50ms,0ms,0.7013081,0.7159633,0.0923719,25.1872291564941,12.97749,2.888056
50ms,10ms,0.6833925,0.7030307,0.1035197,23.9947032928467,11.74012,4.990536
50ms,15ms,0.6794871,0.6962053,0.09654976,23.9947032928467,10.34798,6.733428
50ms,20ms,0.6731654,0.6706846,0.07210892,24.5839767456055,10.61351,7.289339
50ms,25ms,0.7061727,0.7024916,0.0691756,23.4190864562988,10.61351,9.556149
50ms,30ms,0.7631446,0.7365141,0.1137798,23.9947032928467,10.88533,10.97414
50ms,35ms,0.7782161,0.767663,0.1257115,23.4190864562988,11.16361,11.57866
50ms,40ms,0.7744967,0.8008337,0.1301567,23.4190864562988,10.88533,11.47262
50ms,45ms,0.7708265,0.7745145,0.1200745,22.307559967041,10.61351,12.35183
50ms,50ms,0.7636304,0.7958122,0.1173971,21.7710418701172,10.08861,12.3717
50ms,5ms,0.6954482,0.7038721,0.09919648,24.5839767456055,12.03867,1.49358
70ms,0ms,0.7097507,0.7290504,0.09539738,25.8047904968262,12.03867,2.420069
70ms,10ms,0.6946387,0.7292224,0.1100835,25.8047904968262,12.03867,4.247928
70ms,15ms,0.6939164,0.7186841,0.09709795,25.8047904968262,11.16361,7.820529
70ms,20ms,0.7022594,0.7131274,0.07274004,24.5839767456055,11.74012,10.94051
70ms,25ms,0.7287256,0.7299728,0.06292477,25.1872291564941,10.61351,8.413493
70ms,30ms,0.7732713,0.7691796,0.08996189,25.1872291564941,10.61351,11.57866
70ms,35ms,0.7770979,0.766443,0.09165467,24.5839767456055,10.61351,11.74479
70ms,40ms,0.7668386,0.7740267,0.08368688,24.5839767456055,10.61351,11.31034
70ms,45ms,0.7687328,0.773896,0.08157374,24.5839767456055,10.34798,12.22044
70ms,50ms,0.7633531,0.7430473,0.08637148,22.307559967041,10.08861,12.3717
70ms,5ms,0.7033172,0.7234747,0.1009053,25.8047904968262,12.03867,2.420069
