Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9691426,0.9754046,0.02616923,11.5671653747559,7.358634,4.699999
100ms,10ms,0.9157091,0.9161126,0.04642933,9.09517765045166,3.849109,3.118155
100ms,15ms,0.9141468,0.9179769,0.0335506,6.12812042236328,2.710061,2.39736
100ms,20ms,0.8562377,0.8704445,0.05889962,5.41974782943726,2.623527,2.510687
100ms,25ms,0.7286013,0.7200146,0.07993659,4.94021654129028,2.539483,2.086168
100ms,30ms,0.5549213,0.50897,0.1323882,4.22871923446655,2.623527,1.63173
100ms,35ms,0.4412041,0.3818457,0.188077,4.22871923446655,2.539483,0.8311672
100ms,40ms,0.3253029,0.2678878,0.2311775,3.97196817398071,2.457859,1.58476
100ms,45ms,0.2921426,0.2593235,0.2337524,3.72978639602661,2.539483,1.649206
100ms,50ms,0.3040531,0.2844884,0.2222482,3.50134634971619,2.623527,1.701873
100ms,5ms,0.9598423,0.978915,0.04775465,10.8940095901489,4.789485,5.168739
150ms,0ms,0.9664543,0.9682156,0.01329738,13.0373954772949,8.824842,1.066231
150ms,10ms,0.9461355,0.9499869,0.03280543,11.5671653747559,5.255213,6.749998
150ms,15ms,0.8911877,0.9000302,0.05310009,9.09517765045166,3.849109,3.385008
150ms,20ms,0.8116718,0.8105208,0.0617258,7.13828611373901,3.182759,4.299577
150ms,25ms,0.6976776,0.672116,0.1074689,6.12812042236328,2.985359,3.451797
150ms,30ms,0.5672349,0.5289907,0.1585568,5.41974782943726,3.182759,3.088376
150ms,35ms,0.4745158,0.3890619,0.2001744,5.09541511535645,3.182759,1.927127
150ms,40ms,0.4145237,0.3985751,0.2294757,4.78948545455933,2.623527,1.443409
150ms,45ms,0.3768815,0.3558006,0.227083,4.09846925735474,2.539483,1.690925
150ms,50ms,0.3821881,0.3754325,0.2227303,3.97196817398071,2.623527,1.617337
150ms,5ms,0.9690579,0.9717427,0.0141888,11.9187793731689,6.514577,5.144805
300ms,0ms,0.9997797,0.9999912,0.0002983557,15.1339998245239,10.57189,1.565551
300ms,10ms,0.9986393,0.9994687,0.00183937,12.2808141708374,8.307294,4.253366
300ms,15ms,0.9983168,0.9980051,0.001428474,11.2256717681885,6.716438,6.79554
300ms,20ms,0.9977304,0.9978259,0.001817489,9.66012096405029,4.36283,5.377982
300ms,25ms,0.9964705,0.9963114,0.002617945,9.37352466583252,2.985359,2.774329
300ms,30ms,0.9927813,0.9919844,0.004440778,9.37352466583252,3.849109,2.796221
300ms,35ms,0.9891722,0.9879773,0.007558401,8.30729389190674,3.849109,3.049676
300ms,40ms,0.983551,0.982479,0.01230859,6.51457691192627,3.729786,2.71573
300ms,45ms,0.9770893,0.9790722,0.01829242,5.58915948867798,3.392034,1.823346
300ms,50ms,0.9739065,0.9748535,0.02013412,5.25521326065063,3.182759,1.64061
300ms,5ms,0.9999115,0.999949,0.0001122362,14.2584524154663,8.56229,3.647612
50ms,0ms,0.9979708,0.9996125,0.004549018,9.66012096405029,3.613899,1.24336
50ms,10ms,0.9895681,0.9969915,0.01752969,5.58915948867798,3.082618,2.074527
50ms,15ms,0.9614702,0.9669217,0.02076321,4.78948545455933,2.301592,1.752315
50ms,20ms,0.8959535,0.8964083,0.051911,4.09846925735474,2.154192,1.652884
50ms,25ms,0.7302162,0.6896322,0.1143541,3.72978639602661,2.301592,1.341741
50ms,30ms,0.4775679,0.3409595,0.2472427,3.50134634971619,2.710061,0.7040336
50ms,35ms,0.3517776,0.2030292,0.2740625,3.39203429222107,2.457859,0.4832454
50ms,40ms,0.2667039,0.143789,0.2864177,3.08261823654175,1.701109,0.635101
50ms,45ms,0.2177492,0.0981684,0.2805274,2.89090037345886,1.701109,0.7036039
50ms,50ms,0.2647838,0.2022984,0.2517228,2.62352681159973,2.015156,0.4055625
50ms,5ms,0.9957651,0.9979815,0.00729643,7.58551120758057,3.613899,2.876629
70ms,0ms,0.9832343,0.9977145,0.02732282,11.5671653747559,5.943195,6.957995
70ms,10ms,0.965827,0.9847351,0.04537371,7.13828611373901,3.501346,3.028397
70ms,15ms,0.9559537,0.9649601,0.03063629,5.25521326065063,2.79916,3.055311
70ms,20ms,0.9021159,0.9146795,0.05878516,5.09541511535645,2.539483,2.261327
70ms,25ms,0.7987104,0.7833054,0.07924411,4.36282968521118,2.457859,1.58476
70ms,30ms,0.6099996,0.567827,0.129023,3.84910893440247,2.623527,1.464615
70ms,35ms,0.4182658,0.360755,0.2143161,3.50134634971619,2.623527,0.8558023
70ms,40ms,0.2875895,0.1995902,0.2621902,3.39203429222107,2.457859,0.8072414
70ms,45ms,0.2621227,0.1686246,0.2574516,3.28586888313293,2.015156,1.341741
70ms,50ms,0.3164656,0.2970239,0.2406037,3.28586888313293,2.710061,0.3514171
70ms,5ms,0.9770747,0.996335,0.03186901,9.66012096405029,4.500915,5.520157
