Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.7564111,0.7599526,0.05558338,25.8047904968262,10.34798,2.630265
100ms,10ms,0.7573794,0.7703459,0.05950726,24.5839767456055,9.10985,5.675684
100ms,15ms,0.7492346,0.7568249,0.064202,23.4190864562988,8.653835,7.921763
100ms,20ms,0.7551852,0.7819442,0.06736407,22.307559967041,8.879169,10.13038
100ms,25ms,0.7795507,0.7950355,0.06069259,21.7710418701172,9.10985,7.645065
100ms,30ms,0.7548761,0.7525262,0.06256173,20.735013961792,7.21612,10.67914
100ms,35ms,0.7712967,0.7850526,0.0706941,22.307559967041,7.60311,11.63314
100ms,40ms,0.7760478,0.7929425,0.07518001,23.9947032928467,6.158304,12.23995
100ms,45ms,0.7700795,0.7720608,0.0699492,20.234935760498,5.531393,14.60469
100ms,50ms,0.7589498,0.7584697,0.07310919,20.234935760498,5.383638,12.90076
100ms,5ms,0.7515658,0.7566495,0.06073545,25.8047904968262,9.346003,3.936597
150ms,0ms,0.6391904,0.6509692,0.08914848,27.7467823028564,10.61351,3.547337
150ms,10ms,0.6197983,0.6258208,0.08852681,27.0842189788818,8.879169,6.019866
150ms,15ms,0.6397972,0.6517344,0.07887837,25.1872291564941,9.10985,9.68174
150ms,20ms,0.6270604,0.6395182,0.08807573,23.9947032928467,8.653835,10.37071
150ms,25ms,0.628121,0.6151178,0.0691232,25.1872291564941,9.587758,10.29782
150ms,30ms,0.6728395,0.6781184,0.06621756,22.8568077087402,10.08861,8.570868
150ms,35ms,0.6327413,0.6320322,0.09165219,21.7710418701172,8.00868,9.200174
150ms,40ms,0.6544069,0.6474548,0.09368391,25.8047904968262,6.668618,13.34623
150ms,45ms,0.607951,0.5943768,0.07983534,24.5839767456055,7.029324,10.30487
150ms,50ms,0.6263746,0.5981497,0.085372,22.8568077087402,5.098322,13.69008
150ms,5ms,0.6274943,0.6337313,0.09679153,26.4370059967041,10.61351,5.632406
300ms,0ms,0.4509927,0.4434714,0.1359715,28.4250679016113,10.88533,5.457369
300ms,10ms,0.4121006,0.4120844,0.1277642,29.1194458007812,11.74012,10.29999
300ms,15ms,0.4339258,0.420541,0.1366607,28.4250679016113,10.88533,11.40859
300ms,20ms,0.393681,0.3974071,0.1325245,27.7467823028564,9.346003,12.21818
300ms,25ms,0.4071304,0.3889605,0.1228292,28.4250679016113,10.61351,9.961093
300ms,30ms,0.4444275,0.4148326,0.1941258,28.4250679016113,7.029324,15.6653
300ms,35ms,0.3754896,0.3500183,0.147765,27.0842189788818,8.00868,14.5034
300ms,40ms,0.3909676,0.3680692,0.1556767,29.8302936553955,6.49451,15.94124
300ms,45ms,0.3878221,0.3430523,0.135134,28.4250679016113,6.846857,15.08287
300ms,50ms,0.4052962,0.3607903,0.1767897,27.0842189788818,6.668618,14.80647
300ms,5ms,0.426962,0.3944117,0.1447178,30.5580062866211,12.3443,10.79449
50ms,0ms,0.6869939,0.6842499,0.09941354,23.9947032928467,10.34798,3.384831
50ms,10ms,0.713612,0.7162482,0.07673034,21.246955871582,7.803518,7.212591
50ms,15ms,0.7310566,0.7376055,0.08623776,20.735013961792,9.10985,6.653058
50ms,20ms,0.7512706,0.7535362,0.1020956,20.234935760498,9.10985,8.401779
50ms,25ms,0.7466735,0.7528022,0.09728795,21.246955871582,7.029324,10.25315
50ms,30ms,0.7089807,0.7146107,0.07561515,19.2692775726318,6.324437,10.68422
50ms,35ms,0.6895812,0.6762649,0.0819468,18.803165435791,7.407347,10.76454
50ms,40ms,0.6741471,0.6515177,0.09430827,17.90309715271,5.239307,12.33333
50ms,45ms,0.6743594,0.6447352,0.1165744,17.4686450958252,5.239307,12.39117
50ms,50ms,0.6635318,0.6284128,0.1135791,17.0442600250244,4.826076,12.31723
50ms,5ms,0.6984659,0.7197225,0.08117311,22.307559967041,9.346003,3.154926
70ms,0ms,0.7067584,0.6994463,0.07811768,23.9947032928467,10.08861,1.775483
70ms,10ms,0.7198198,0.7284834,0.07356068,22.8568077087402,8.433722,7.125794
70ms,15ms,0.7413819,0.7479925,0.07311147,21.246955871582,9.10985,7.803586
70ms,20ms,0.7433105,0.7460645,0.06634168,21.7710418701172,9.346003,6.980965
70ms,25ms,0.7554066,0.7565832,0.07217359,20.234935760498,9.346003,6.980965
70ms,30ms,0.7588828,0.7554646,0.07022824,20.234935760498,8.00868,9.074784
70ms,35ms,0.7372879,0.7451532,0.06360351,18.803165435791,7.407347,12.15582
70ms,40ms,0.7544949,0.7383146,0.08232293,19.2692775726318,5.531393,11.74427
70ms,45ms,0.7395483,0.7180279,0.08589461,17.90309715271,5.239307,14.40125
70ms,50ms,0.7231011,0.7134519,0.09163065,18.803165435791,4.566302,14.87622
70ms,5ms,0.7058894,0.7221006,0.08161099,22.307559967041,9.587758,2.729885
