Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.8672545,0.9098979,0.1033875,31.3029823303223,17.9031,3.04451
100ms,10ms,0.8842039,0.8866434,0.05087487,28.4250679016113,17.04426,3.360349
100ms,15ms,0.8689704,0.8886595,0.07015301,26.4370059967041,15.44282,5.37036
100ms,20ms,0.8664746,0.8730726,0.05033301,27.0842189788818,15.44282,5.37036
100ms,25ms,0.8614396,0.8582709,0.05420949,28.4250679016113,14.69669,12.13455
100ms,30ms,0.850738,0.8470652,0.05141693,27.0842189788818,14.69669,12.30866
100ms,35ms,0.8566892,0.8613448,0.05974723,27.0842189788818,13.98474,12.47873
100ms,40ms,0.8455417,0.846173,0.05209383,26.4370059967041,12.97749,12.18955
100ms,45ms,0.856407,0.8518894,0.06227015,25.1872291564941,11.44848,13.12051
100ms,50ms,0.8241211,0.8274746,0.05183275,25.8047904968262,10.34798,15.10852
100ms,5ms,0.8722967,0.903441,0.08864565,29.8302936553955,17.46865,3.826461
150ms,0ms,0.8744923,0.9040309,0.07689432,31.3029823303223,17.04426,3.360349
150ms,10ms,0.8675629,0.8794086,0.07135202,32.8463745117188,16.62971,4.932739
150ms,15ms,0.8619104,0.8699226,0.08215791,30.5580062866211,15.82921,6.291783
150ms,20ms,0.8508046,0.8544582,0.05561171,28.4250679016113,15.44282,6.458863
150ms,25ms,0.8494605,0.8513322,0.0537687,28.4250679016113,15.06538,12.23995
150ms,30ms,0.8376131,0.8459376,0.06258386,29.1194458007812,14.33654,13.42201
150ms,35ms,0.8321756,0.8281402,0.06088258,29.1194458007812,14.33654,13.75043
150ms,40ms,0.8233521,0.8209889,0.06384761,28.4250679016113,12.97749,13.27326
150ms,45ms,0.8096544,0.8081604,0.05765176,27.7467823028564,12.97749,14.39744
150ms,50ms,0.8008814,0.8015426,0.05925113,26.4370059967041,11.74012,13.41953
150ms,5ms,0.8713993,0.8928705,0.07377318,31.3029823303223,17.04426,4.203899
300ms,0ms,0.7715964,0.7779456,0.07045782,32.0656318664551,17.04426,5.049761
300ms,10ms,0.7438726,0.756861,0.08843192,32.0656318664551,17.04426,5.898397
300ms,15ms,0.7874685,0.7924812,0.05506391,30.5580062866211,17.04426,5.049761
300ms,20ms,0.7454481,0.7452415,0.08147538,30.5580062866211,16.22477,7.577749
300ms,25ms,0.7731976,0.7672367,0.06850787,29.1194458007812,15.44282,7.230611
300ms,30ms,0.5600303,0.5665726,0.1646096,30.5580062866211,16.22477,8.390712
300ms,35ms,0.6644461,0.6582726,0.1260961,29.1194458007812,14.33654,14.2405
300ms,40ms,0.5824876,0.5993382,0.1669012,29.1194458007812,13.64109,18.86279
300ms,45ms,0.6710041,0.6773871,0.1249828,30.5580062866211,12.3443,14.73899
300ms,50ms,0.6750935,0.6734712,0.06712406,27.7467823028564,12.65719,13.90895
300ms,5ms,0.6669898,0.662653,0.1279577,34.4638633728027,17.46865,4.681068
50ms,0ms,0.9016563,0.906647,0.05168073,26.4370059967041,17.46865,1.718143
50ms,10ms,0.8966333,0.9069408,0.04786025,26.4370059967041,15.44282,4.163243
50ms,15ms,0.8972847,0.909745,0.0437221,26.4370059967041,15.82921,3.483909
50ms,20ms,0.8807514,0.885493,0.04233935,24.5839767456055,15.06538,9.665127
50ms,25ms,0.8662118,0.8662382,0.04690549,23.9947032928467,15.06538,4.491151
50ms,30ms,0.8551953,0.8643396,0.04216306,23.9947032928467,14.69669,10.80003
50ms,35ms,0.8508064,0.863101,0.04996455,23.4190864562988,13.98474,10.71982
50ms,40ms,0.838299,0.84513,0.05958879,22.307559967041,11.44848,11.04824
50ms,45ms,0.8450701,0.845898,0.08318795,22.307559967041,10.61351,11.20676
50ms,50ms,0.8490967,0.8589011,0.1018682,21.246955871582,10.61351,11.51287
50ms,5ms,0.9123225,0.9161145,0.0424456,24.5839767456055,17.04426,1.243877
70ms,0ms,0.8918427,0.8921401,0.04400445,28.4250679016113,17.46865,1.718143
70ms,10ms,0.8970698,0.8989087,0.04806244,27.0842189788818,16.62971,1.215051
70ms,15ms,0.8869086,0.8919026,0.05217821,27.7467823028564,16.22477,4.363118
70ms,20ms,0.8754697,0.8792708,0.04984317,26.4370059967041,15.44282,4.163243
70ms,25ms,0.8745512,0.8726629,0.0471086,25.8047904968262,15.06538,4.491151
70ms,30ms,0.8718231,0.8765082,0.04466896,26.4370059967041,14.69669,11.14421
70ms,35ms,0.8601946,0.8596398,0.04861536,24.5839767456055,13.64109,11.31034
70ms,40ms,0.83572,0.8382523,0.04241371,23.4190864562988,12.3443,12.35183
70ms,45ms,0.8177752,0.8131984,0.04770596,22.8568077087402,12.3443,12.0656
70ms,50ms,0.8074102,0.8014042,0.05458082,23.4190864562988,10.08861,11.93725
70ms,5ms,0.8963478,0.9029824,0.05362565,27.7467823028564,17.46865,2.123087
