Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9974415,0.9985034,0.003058486,16.5639190673828,9.574028,5.915523
100ms,10ms,0.9940478,0.9952158,0.003659964,15.820366859436,10.01865,5.379484
100ms,15ms,0.9663666,0.9662771,0.008641089,13.7873344421387,6.675318,0.8764029
100ms,20ms,0.9474525,0.9468102,0.01130617,13.7873344421387,6.383396,2.74426
100ms,25ms,0.9264833,0.9280999,0.01721397,8.74478530883789,4.105616,0.916563
100ms,30ms,0.8985664,0.8971583,0.01967658,7.98955869674683,4.105616,0.5240579
100ms,35ms,0.8634251,0.8604343,0.02124979,7.63761329650879,3.931058,0.5001228
100ms,40ms,0.8270051,0.8257746,0.02453031,7.63761329650879,3.453776,0
100ms,45ms,0.7899413,0.7847881,0.03025336,7.30174160003662,4.480196,0.3925052
100ms,50ms,0.7474921,0.7388908,0.03695073,6.98120975494385,3.605493,0.7602446
100ms,5ms,0.9957587,0.9979129,0.004989244,15.820366859436,9.574028,7.682528
150ms,10ms,0.9880677,0.9924977,0.01039891,16.5639190673828,9.574028,7.682528
150ms,15ms,0.9708365,0.9716069,0.01152989,14.4335908889771,6.98121,3.190632
150ms,25ms,0.8929189,0.8934011,0.0191944,12.5820207595825,6.104807,2.74426
150ms,30ms,0.8727191,0.8729918,0.02122405,9.14971733093262,4.480196,2.618925
150ms,35ms,0.8438608,0.8417587,0.02478965,8.35834789276123,4.480196,2.499314
150ms,40ms,0.8074772,0.8055329,0.02701183,7.63761329650879,4.288529,1.437709
150ms,45ms,0.7686978,0.7676605,0.03269422,7.63761329650879,3.605493,1.437709
150ms,50ms,0.7301753,0.7237251,0.03845219,7.63761329650879,4.105616,0.8347533
300ms,0ms,0.9958842,0.9965509,0.002581447,19.0149784088135,13.78733,7.758273
300ms,10ms,0.993098,0.994472,0.005024077,18.159481048584,14.43359,8.435456
300ms,20ms,0.9601769,0.9613642,0.009768089,15.820366859436,9.574028,7.403938
300ms,25ms,0.947639,0.9501409,0.01093541,14.4335908889771,6.675318,0.2919216
300ms,30ms,0.9343192,0.9368236,0.01156816,10.4845418930054,6.675318,0.2919216
300ms,35ms,0.9218763,0.9248368,0.01318318,10.0186462402344,4.288529,2.618925
300ms,40ms,0.9066493,0.908737,0.01496703,7.98955869674683,4.891485,2.173749
300ms,45ms,0.8848912,0.8843309,0.01844042,8.35834789276123,3.931058,2.499314
300ms,50ms,0.8605748,0.8586583,0.02206314,8.35834789276123,3.931058,0.5001228
300ms,5ms,0.99461,0.9953,0.003503169,19.0149784088135,13.78733,1.262997
50ms,0ms,0.9933637,0.9977539,0.01149323,14.4335908889771,6.383396,0.5705109
50ms,10ms,0.9973654,0.9973218,0.001026557,13.1705942153931,5.838942,2.618925
50ms,15ms,0.9940343,0.9943122,0.002608305,7.98955869674683,4.105616,0.715724
50ms,20ms,0.98887,0.990422,0.00489172,7.63761329650879,4.480196,2.777903
50ms,25ms,0.9767081,0.9791017,0.006596127,7.30174160003662,3.764472,0.6830361
50ms,30ms,0.9641763,0.9640139,0.00735963,7.30174160003662,3.605493,2.651031
50ms,35ms,0.9538587,0.9530317,0.008977587,6.98120975494385,5.112008,0
50ms,40ms,0.9282932,0.9280896,0.01492831,7.30174160003662,3.605493,0
50ms,45ms,0.887886,0.8909656,0.02806179,6.67531776428223,3.308988,2.433605
50ms,5ms,0.9948269,0.996227,0.004590571,13.1705942153931,6.383396,0.8363757
70ms,0ms,0.9979623,0.9990689,0.00337772,14.4335908889771,6.383396,0.2785892
70ms,10ms,0.9978254,0.9980575,0.0009910209,13.7873344421387,6.383396,0.8363757
70ms,15ms,0.9924047,0.9935387,0.004055449,10.9727344512939,4.288529,2.618925
70ms,20ms,0.9810778,0.9838483,0.009327711,8.74478530883789,4.681035,2.777903
70ms,25ms,0.9559917,0.9563074,0.01138842,7.63761329650879,4.480196,2.233449
70ms,30ms,0.9361936,0.9377113,0.01283093,7.30174160003662,4.288529,2.233449
70ms,35ms,0.9166864,0.9147327,0.01404188,7.30174160003662,4.288529,1.506514
70ms,40ms,0.8928405,0.8906598,0.01759133,6.98120975494385,3.170813,0
70ms,45ms,0.8578389,0.8534082,0.0241651,6.67531776428223,3.170813,0.2700398
70ms,50ms,0.8147866,0.8066865,0.0320641,6.98120975494385,0,0
70ms,5ms,0.9944708,0.996945,0.006854259,15.1107740402222,7.989559,3.63525
