Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9363093,0.9394745,0.03598988,25.1872291564941,16.62971,1.639436
100ms,10ms,0.7566871,0.768104,0.07095082,22.307559967041,11.74012,11.66062
100ms,15ms,0.6830658,0.6984625,0.1677445,18.803165435791,8.433722,10.13038
100ms,20ms,0.4692104,0.437522,0.1110866,16.629711151123,6.668618,12.82164
100ms,25ms,0.4328918,0.4068968,0.1241752,16.2247676849365,3.239334,13.95474
100ms,30ms,0.4263969,0.4296481,0.1635451,14.3365383148193,2.961945,11.67867
100ms,35ms,0.3595099,0.4142281,0.1989982,13.9847364425659,3.856226,5.067471
100ms,40ms,0.2562659,0.30301,0.1743245,14.3365383148193,5.531393,9.843297
100ms,45ms,0.212116,0.1814602,0.1330303,9.10984992980957,5.531393,4.056227
100ms,50ms,0.1408383,0.1144632,0.104625,7.40734672546387,3.747291,2.76246
100ms,5ms,0.8821777,0.8862106,0.05392887,23.4190864562988,13.98474,3.652217
50ms,0ms,0.962992,0.9676408,0.02134565,21.7710418701172,14.69669,11.74479
50ms,10ms,0.8342788,0.8435856,0.06887911,18.3478546142578,8.433722,9.158661
50ms,15ms,0.6980819,0.685753,0.09933983,14.3365383148193,5.239307,11.32609
50ms,20ms,0.5365052,0.5104881,0.09825759,12.9774942398071,3.967745,6.426542
50ms,25ms,0.5189102,0.5125417,0.1154649,13.6410865783691,3.967745,10.25351
50ms,30ms,0.4246607,0.4291163,0.1719943,12.0386667251587,2.462411,7.64868
50ms,35ms,0.4753292,0.4839264,0.1683123,8.21870994567871,2.462411,4.313924
50ms,40ms,0.5397071,0.5132314,0.143222,7.02932357788086,2.385776,3.783335
50ms,45ms,0.3777944,0.4031476,0.2356831,13.305401802063,2.237793,6.669323
50ms,50ms,0.3427224,0.2883683,0.2325444,7.40734672546387,0.8308929,0.8739793
50ms,5ms,0.9247918,0.9284266,0.03163674,21.246955871582,13.3054,2.297872
70ms,0ms,0.9601305,0.9649609,0.02098775,22.307559967041,16.22477,3.827559
70ms,10ms,0.8169525,0.8237315,0.08393418,20.234935760498,10.88533,8.805145
70ms,15ms,0.7034114,0.6871561,0.1242695,16.2247676849365,7.407347,10.23744
70ms,20ms,0.5118222,0.4954712,0.09980625,15.8292093276978,5.239307,12.3143
70ms,25ms,0.4959121,0.4747384,0.1069568,15.0653781890869,2.462411,12.00867
70ms,30ms,0.4432276,0.4834744,0.1636238,13.6410865783691,2.385776,5.278931
70ms,35ms,0.252281,0.270737,0.1708552,9.83524894714355,3.435401,3.829659
70ms,40ms,0.3419856,0.3418577,0.1746356,8.4337215423584,3.144695,3.673022
70ms,45ms,0.2585104,0.2389609,0.2098992,15.0653781890869,0.9956317,3.610881
70ms,50ms,0.4519855,0.394161,0.1851845,7.40734672546387,3.640881,3.220475
70ms,5ms,0.9101596,0.9161708,0.03834906,21.7710418701172,13.98474,1.031137
