Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9363093,0.9394745,0.03598988,25.1872291564941,16.62971,1.639436
100ms,10ms,0.9330994,0.9435656,0.03268736,25.1872291564941,17.04426,1.243877
100ms,15ms,0.9251159,0.9247883,0.03764966,23.9947032928467,17.9031,3.04451
100ms,20ms,0.9274955,0.9359211,0.0358814,23.9947032928467,17.9031,4.905805
100ms,25ms,0.9135071,0.9252979,0.04679293,25.1872291564941,17.46865,5.169558
100ms,30ms,0.908161,0.9156975,0.0511358,23.4190864562988,17.46865,4.681068
100ms,35ms,0.9183,0.9241061,0.04736096,24.5839767456055,17.46865,5.169558
100ms,40ms,0.9115638,0.9097722,0.04417493,25.1872291564941,17.46865,5.53825
100ms,45ms,0.9079608,0.9111389,0.04369133,23.9947032928467,17.04426,5.898397
100ms,50ms,0.9065957,0.9113562,0.0455396,24.5839767456055,16.62971,5.284541
100ms,5ms,0.9381289,0.9373104,0.03157851,23.9947032928467,17.04426,1.243877
50ms,0ms,0.962992,0.9676408,0.02134565,21.7710418701172,14.69669,11.74479
50ms,10ms,0.963199,0.9686266,0.01979451,21.7710418701172,17.04426,2.073888
50ms,15ms,0.9600868,0.9651183,0.02537963,21.7710418701172,17.04426,2.123087
50ms,20ms,0.9618801,0.9653919,0.02032024,22.307559967041,16.62971,1.639436
50ms,25ms,0.9654574,0.9705887,0.02136214,21.246955871582,16.62971,2.025828
50ms,30ms,0.9616349,0.9673192,0.02261407,21.246955871582,16.22477,1.601443
50ms,35ms,0.9585251,0.9615079,0.02284626,22.307559967041,16.62971,3.282476
50ms,40ms,0.9600888,0.9639643,0.02425395,21.246955871582,16.62971,4.10648
50ms,45ms,0.9578428,0.9648288,0.02486463,21.246955871582,16.22477,3.566559
50ms,50ms,0.9565023,0.9589028,0.02361153,21.246955871582,15.44282,3.059524
50ms,5ms,0.9661833,0.9696289,0.02104279,21.7710418701172,15.82921,5.497764
70ms,0ms,0.9601305,0.9649609,0.02098775,22.307559967041,16.22477,3.827559
70ms,10ms,0.9545157,0.9597768,0.02437491,22.307559967041,16.62971,1.215051
70ms,15ms,0.9516463,0.9543759,0.02313707,23.9947032928467,16.62971,2.025828
70ms,20ms,0.9489509,0.9499459,0.02480499,22.307559967041,16.62971,3.282476
70ms,25ms,0.9540223,0.9601669,0.02339194,21.7710418701172,17.04426,4.203899
70ms,30ms,0.9509653,0.954735,0.02325771,22.8568077087402,16.62971,2.837719
70ms,35ms,0.9451081,0.9508957,0.02780533,22.8568077087402,16.62971,3.282476
70ms,40ms,0.9508254,0.9537431,0.02161824,22.307559967041,16.62971,4.10648
70ms,45ms,0.9448148,0.9490116,0.02858148,23.4190864562988,16.62971,4.466627
70ms,50ms,0.9476885,0.9537306,0.02825766,22.307559967041,16.62971,5.284541
70ms,5ms,0.9561542,0.961033,0.024194,22.8568077087402,16.62971,1.639436
